()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>657</BIN><BGM>Campaion-58-3</BGM>:……淨化系統控制區域。
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>怎麼樣，找到了嗎？</color>
RO635Mod(2)<Speaker>RO635</Speaker>||:……
()<Speaker></Speaker>||:RO635呆呆地看著眼前正常運作的儀器。
RO635Mod(2)<Speaker>RO635</Speaker>||:我找到了這一層的淨化系統，但是它沒有任何故障，而且能源也是充足的。
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>哈啊？</color>
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>把運營日誌共享給我。</color>
RO635Mod(0)<Speaker>RO635</Speaker>||:發送給你了。
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>……</color>
RO635Mod(2)<Speaker>RO635</Speaker>||:怎麼了？是哪裡出問題了嗎？
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>這個實驗室的淨化系統是附屬於中央控制室的，那邊的電源被切斷了……</color>
RO635Mod(4)<Speaker>RO635</Speaker>||:所以連帶著整個實驗室的淨化系統也停止運行了？
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>對，而且，這裡的淨化系統不能被單獨啟動，只能透過中央控制室啟動。</color>+<color=#00CCFF>關閉淨化系統只有一種可能……就是這裡的人不再需要了……</color>
RO635Mod(0)<Speaker>RO635</Speaker>||<黑点1>:……+那麼，只剩下一條路了……+我們必須趕在濃度超標前把安潔帶出去。
()<Speaker></Speaker>||<黑点2><SE1>RunStep</SE1>:心急如焚的RO在手術走廊狂奔，全然沒注意到這裡已經空無一人……
NPC-Koleda(0)<Speaker>克萊妲</Speaker><通讯框>||:<color=#00CCFF>RO。</color>+<color=#00CCFF>快回來。</color>+<color=#00CCFF>安潔，她醒了。</color>
()||<黑屏1>:
