()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑点2><BIN>448</BIN><BGM>GF_22W_BGM_3</BGM>:……阿佛那斯，西塔，塔外平台區域。
()||:西塔入口處陸陸續續走出涅托，她們穿過焦煙繚繞的平台，跨過被餘燼蠶食著的不明碎塊，向東塔走去。+一處掩體附近，建築師與計量官倒在地上，軀體殘損，雙眼黯淡無光。+娜希斯緩緩降落在殘骸的附近，臉上的笑容狂妄肆意。
Narciss(2)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:格里芬的瘋狗——起來繼續玩啊。
()||<SE1>AVG_Door_Hit</SE1>:咣啷——計量官被一腳踢飛，歪斜著砸到燒得漆黑的飛行器上，然後重重落地，蕩起一圈煙塵。
Narciss(2)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:怎麼不動啊？+這麼脆弱嗎？沒用的廢物！
()||<SE1>AVG_Cut_Watermelon</SE1>:浮游刃揚起，如手術刀般躍動飛落，建築師腿部的仿生肌膚七零八落，露出金屬骨骼和內在零件。
Narciss(2)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:哈哈哈哈，你們再囂張啊，再抵抗啊！
()||<SE1>AVG_Tinnitus</SE1>:儘管沒有得到任何回應，娜希斯卻越發興致勃勃，浮游刃揮出了殘影，哐哐連剁！
()||<SE1>AVG_21Winter_Phone_Crash</SE1>:嘎——生澀的金屬摩擦聲，似乎是其中一柄浮游刃被卡住了。
Narciss(1)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:嗯？
()||:建築師的軀體已被剁得看不出原樣，但背部的仿生骨骼硬度奇高，一柄浮游刃卡在脊椎縫隙裡動彈不得，無法響應娜希斯的命令。
Narciss(2)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:廢物就是廢物！+啊啊啊啊啊啊！！！
Narciss(2)<Position>0,-100</Position><同时置暗><Speaker></Speaker>||:狂怒中的她轉向縮在平台邊緣的涅托們。
Narciss(2)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:你！去給我把浮游刃取出來！
Nyto(1)<Speaker>黑涅托</Speaker>||:……是、是。
()||:被指名的黑涅托只好顫抖著靠近仍在建築師脊椎中震顫的浮游刃……+儘管她已經使出渾身的力量，但仍然無法將浮游刃從困境中取出。
Nyto(1)<Speaker>黑涅托</Speaker>||:對不起，娜希斯姐姐……
Narciss(1)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:你也是廢物！
()||<SE1>AVG_Cut_Watermelon</SE1>:娜希斯勃然大怒，浮游刃如迴旋的龍捲風刮過平台，放在這裡的軍械設備紛紛遭殃，數名涅托被絞成幾段。+平台上的涅托們嚇得蹲在原地，西塔入口處的涅托們猶猶豫豫不敢上前。
()||<SE1>AVG_tinnitus_0</SE1>:嗡——正在高速劃破空氣的浮游刃突然凝滯在空氣中。
Narciss(1)<Position>0,-100</Position><Speaker>娜希斯</Speaker>||:怎麼回事？！
()||:娜希斯更是狂怒，但那幾柄浮游刃卻仍然凝固在空中無法動彈。
