()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>97</BIN>:……夏园，大宫殿内，大厅。
()||<SE1>RunStep</SE1>:蕾妮特急促的脚步声扰乱了沉淀的清静。
NPC_Stevens520(1)<Speaker>蕾妮特</Speaker><Position>0,60</Position>||<BGM>BGM_Hume_LibraryAdventure</BGM>:<size=50>米拉贝！你给我出来。</size>
NPC_Stevens620(0)<Speaker>米拉贝</Speaker><Position>-200,0</Position><GradientShow>2</GradientShow>||:我在。
()||:米拉贝慢悠悠地从角落的阴影中走出。
NPC_Stevens520(0)<Speaker>蕾妮特</Speaker><Position>0,60</Position>||:我们已经找到休谟大主教了。
Erma(23)<Speaker>艾尔玛</Speaker>||:<color=#A9A9A9>啊？我怎么不知道……</color>
NPC_Stevens620(0)<Speaker>米拉贝</Speaker><Position>-200,0</Position>||:是吗？快把他带到这里来吧！
NPC_Stevens520(0)<Speaker>蕾妮特</Speaker><Position>0,60</Position>;NPC_Stevens620(0)<Position>-200,0</Position>||:除非见到国王陛下本人，否则我是不会交出休谟大主教的。
NPC_Stevens520(0)<Position>0,60</Position>;NPC_Stevens620(1)<Speaker>米拉贝</Speaker><Position>-200,0</Position>||:不行，我需要验明正身，万一你们欺骗陛下怎么办？
NPC_Stevens620(1)<Speaker>米拉贝</Speaker><Position>-200,0</Position>||:作为骑士，守护陛下是我的职责。
()||:蕾妮特的脸上浮现出凌厉的冷笑。
NPC_Stevens520(1)<Speaker>蕾妮特</Speaker><Position>0,60</Position>||:是吗？史蒂文斯620，或者该叫你27-П-55。+你到底要扮演这种蹩脚的戏码到什么时候？
NPC_Stevens620(1)<Speaker>米拉贝</Speaker><Position>-200,0</Position>||:请你不要说不知所谓的话。
()||<SE1>Rope</SE1>:蕾妮特逼近了米拉贝。
NPC_Stevens520(1)<Speaker>蕾妮特</Speaker><Position>0,60</Position>||:你当我和艾尔玛一样是个傻子吗？+夏园的锚点不可能储存人类的记忆，信件也就算了……+你告诉我，为什么我们能看到博士和玛姬的对话？+他们谈话时边上根本没有任何人形，这是录像吗？还是谁的记忆呢？
Erma(21)<Speaker>艾尔玛</Speaker><Shake>||:……喂喂有被冒犯到！
NPC_Stevens520(1)<Speaker>蕾妮特</Speaker><Position>0,60</Position>||:你闭嘴！
Erma(19)<Speaker>艾尔玛</Speaker>||:……
()||<SE1>Rope</SE1>:米拉贝不为所动，蕾妮特逼得更近。
