()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1><BIN>724</BIN><黑屏2>:■檔案■ PACC37628974108749解碼中……
()<Speaker></Speaker>||<narrator>:薩曼莎•肖（2009-2062）+曾用名：葉卡捷琳娜•瓦西列夫娜•彼得羅夫斯卡婭+2009，出生於斯塔夫羅波爾邊疆區礦水城。+2015-2019，礦水城第一小學。【附件3】+2022，中學時期。【附件9】+……+家庭關係：姐妹+索菲婭•瓦西列夫娜•彼得羅夫斯卡婭（2001-？）
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1>:……附件3解碼中……
()||<黑屏1><CGDelay>1</CGDelay>:
()<Speaker></Speaker>||<黑屏2><BIN>654</BIN><BGM>BGM_23S_Winter_Night</BGM>:階梯教室
()<Speaker></Speaker>||:教室內熙熙攘攘，前排坐滿了四年級學生。+家長們坐在後排，紛紛舉著手機，對準主講台。+講台上方掛著橫幅：「礦水城第一小學2019航模比賽（四年級組）頒獎儀式」。
()<Speaker>主持人</Speaker>||:接下來要頒發的是，手拋滑翔機第一名——+帕拜達•伊萬諾維奇•葉里科夫同學！
()<Speaker></Speaker>||<SE1>AVG_20Winter_Book</SE1>:一名中等身材的小男孩昂著頭走上講台，從老師手中接過獎狀。
()<Speaker>帕拜達</Speaker>||:我就知道我會拿到這個獎狀！+從小爸媽就鼓勵我……
()<Speaker>帕拜達</Speaker>||<SE1>AVG_XXS_kick</SE1><震屏3>:<size=50>啊！！！</size>
()<Speaker></Speaker>||:帕拜達突然被從麥克風前推開，是一名金髮小女生跑了上來。 
()<Speaker>主持人</Speaker>||:葉卡捷琳娜，你在幹什麼，快下去！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:葉卡捷琳娜敏捷地躲開帕拜達的抓擊，搶著湊到麥克風旁邊。
NPC-Shaw_Child(2)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:<size=50>大家！帕拜達偷了我的飛機模型，他是騙子！我才是第一名！</size>
()<Speaker>帕拜達</Speaker>||:誰、誰偷你的模型了？走開！
()<Speaker></Speaker>||<SE1>Rope</SE1><震屏3>:帕拜達惡狠狠揪住了葉卡捷琳娜的辮子。
()<Speaker>主持人</Speaker>||:都住手！
()<Speaker></Speaker>||<SE1>AVG_Howling</SE1>:台上吵成一團，麥克風被高分貝聲音震出了嘯叫，台下不少人捂起耳朵。
()<Speaker></Speaker>||<SE1>RunStep</SE1>:另一位金髮少女艱難地從一群毛熊般壯碩的家長中鑽出來，飛快奔向講台。
()<Speaker></Speaker>||:葉卡捷琳娜看見金髮少女，倔強的小臉上忍不住留下了眼淚。
NPC-Shaw_Child(4)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:姐！
()<Speaker>主持人</Speaker>||:索菲婭你來得正好，快帶你妹妹回去。
NPC-Shaw_Child(4)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:我不回去！我要拿第一名！
()<Speaker>帕拜達</Speaker>||:我才是第一名，她在胡說！
()<Speaker>主持人</Speaker>||:這裡不是吵鬧的地方，索菲婭你先帶妹妹回家！
NPC-Sofya_Child(0)<Speaker>索菲婭</Speaker>||:事情沒弄清楚之前，為什麼要回家？
()<Speaker>主持人</Speaker>||:……你怎麼回事？+這裡是公眾場合！
NPC-Sofya_Child(0)<Speaker>索菲婭</Speaker>||:……還有比公眾場合更適合澄清的地方嗎？+我相信卡佳不會說謊，既然都說是自己做的，就應該讓他們在大家面前再做一次。+如果卡佳做不出來，我會當眾道歉並狠狠懲罰卡佳，然後去請求帕拜達原諒。
()<Speaker>主持人</Speaker>||:……
()<Speaker>帕拜達</Speaker>||:我不要我才不要！+哼，我要告訴彼得羅夫斯基先生！
NPC-Sofya_Child(3)<Speaker>索菲婭</Speaker>||:那位牧師先生會告訴你，對就是對，錯就是錯——+他才不會包庇自己的女兒。
()<Speaker>主持人</Speaker>||:好了好了，這件事一會兒去辦公室說，都給我下去！+手拋滑翔機第一名暫時空缺，接下來頒發橡筋動力撲翼機——
()<Speaker></Speaker>||:老師將三人趕下台。
()<Speaker></Speaker>||:葉卡捷琳娜滿臉通紅拽著姐姐的衣角。
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay><SE1>ClothingUp</SE1>:
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:而索菲婭並未打算離開，帶著妹妹坐到了家長席上，用手梳理妹妹亂糟糟的髮辮。
NPC-Sofya_Child(0)<Speaker>索菲婭</Speaker>||:唉，也許我臨走之前，該送你去伊萬大叔那邊學學格鬥術？
NPC-Shaw_Child(2)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:……才不用，我打架很厲害，要不是大人攔著，他那樣的我一個能打五個！
NPC-Sofya_Child(1)<Speaker>索菲婭</Speaker>||:噗，好好好，我們卡佳最厲害了。
NPC-Shaw_Child(2)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:媽媽說，爸爸生氣的時候說的都是假話，他沒有不想看見你。+他只是一想到你要去莫斯科念書，就難過得吃不下飯。
NPC-Sofya_Child(0)<Speaker>索菲婭</Speaker>||:爸爸他……
()<Speaker></Speaker>||:索菲婭嘆了一口氣，臉上顯現出一種與年齡不符的成熟來。
NPC-Sofya_Child(0)<Speaker>索菲婭</Speaker>||:想阻止這個世界變得更糟，光憑祈禱和禮讚，有用嗎？
NPC-Shaw_Child(0)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:……但這是爸爸的信仰。
NPC-Sofya_Child(2)<Speaker>索菲婭</Speaker>||:他有他的信仰，我也有我的信仰。+我會找到真正能對抗災變的武器……
()<Speaker></Speaker>||<SE1>AVG_applause_indoor</SE1>:這時台上的學生發表完獲獎感言，教室內響起掌聲，打斷了索菲婭的話。+葉卡捷琳娜看著那名女生捧著獎狀走下講台，滿臉羡慕與失落。
NPC-Sofya_Child(3)<Speaker>索菲婭</Speaker>||:一張獎狀而已，以後你會開真飛機的，那比航模威風多了！
NPC-Shaw_Child(1)<Speaker>葉卡捷琳娜</Speaker><Position>0,80</Position>||:好，以後我要開大飛機，飛到莫斯科去看你！嗯……不帶爸爸！
()||<黑屏1><CGDelay>0.7</CGDelay>:
()<Speaker></Speaker>||<SE1>Stop_AVG_loop</SE1>:
()<Speaker></Speaker>||<黑屏2><narrator><BIN>724</BIN><SE1>AVG_keyboardtype_sci</SE1>:附件9解碼中……
()||<黑屏1><CGDelay>0.7</CGDelay>:
()<Speaker>新聞播音員</Speaker>||<黑屏2><BIN>731</BIN><BGM>BGM_Empty</BGM>:<color=#00CCFF>下面播報一組簡訊。</color>+<color=#00CCFF>近日，斯塔夫羅波爾邊疆區的一名女中學生，在無專業指導的情況下，自製滑翔翼飛躍塞凡湖。</color>+<color=#00CCFF>中途失力墜水，經搶救後脫離危險。</color>
()<Speaker>新聞播音員</Speaker>||:<color=#00CCFF>教育部再次呼籲廣大學生，注意假期安全，遠離高危活動。</color>
()<Speaker></Speaker>||<CGDelay>0.6</CGDelay>:
()||<黑点1>:
