()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>207</BIN><黑屏2><BGM>BGM_Room</BGM>:……
AR15Mod(0)<Speaker>AR15</Speaker>||:沒想到不能開槍的行動那麼艱難……
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:幸好敵人的感知能力不是那麼強……似乎沒法直接掃描到我們。+10秒後會有一整隊單位從15米的距離經過。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:收到……我看到它們了。
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:穩住……穩住……好，它們背對我們了，現在穿過街去！
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:穿過來了……太驚險了，其他敵人的位置能看到嗎？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:我只能入侵比較靠近的單位……我不想做得太高調，一旦我們的存在被發現那就全完了。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:雖然撿了一些武器彈藥，但是和烙印不符沒法指望能能有很好的表現。
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:所以我們更要加倍小心才行，無聲無息地從敵人的眼皮底下溜過是唯一的辦法。
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:可是我們這樣在瓦礫裡面一點點爬過去，就算不被發現，時間上也是個問題啊。+如果安潔她們能夠脫身，那一定會快速離開這片區域。+如果她們離開了訊號接收的範圍……那我們……
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:嘖……我明白……可是現在也沒有太多的選擇，除非……
()<Speaker>清澈的聲音</Speaker>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>除非能像幽靈一樣在敵人看不到的情況下行動。</color>
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>;AR15Mod(0)||:<color=#A9A9A9>！！</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>很意外嗎？</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>m_avg_labyrinth</BGM>:<color=#A9A9A9>可是你不是…………</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>被留在了這些白色的傢伙的系統裡了？</color>+<color=#00CCFF>如果你不嘗試入侵它們的話，也許我真的就找不到你了，可惜現在的你並沒有別的選擇。</color>+<color=#00CCFF>所以我們又遇上了，看來真是命運啊。</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>嘖…………</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>我在拼命地幫助你，而你卻選擇拍拍屁股走人。就這麼拋下我而去，你不會產生負罪感嗎？</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>幫助我只是為了你實現你的計劃罷了，對你沒有什麼負罪感好產生的。</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>是麼，是麼……</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>沒錯，在沒有你的干擾下，現在的我才是真正的我。</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>嗯……我本來想就這麼回來，然後幫你離開這裡。</color>+<color=#00CCFF>不過我現在改變主意了。</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>你……想要做什麼？</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>我一直在為了你而幫助你，但是你卻一次又一次讓我失望。</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>我不需要你的幫助，更不需要你！</color>
()<Speaker>清澈的聲音</Speaker>||:<color=#00CCFF>是時候讓你更清楚地明白自己有多麼的弱小了。</color>+<color=#00CCFF>如果你認為能夠靠自己離開這裡，那就嘗試一下給我看吧。</color>+<color=#00CCFF>只是這一次沒有別人會為你的錯誤買單了，你必須要自己獨自程度失敗的苦果。</color>
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||<BGM>BGM_Empty</BGM>:<color=#A9A9A9>該死，你把敵人引過來了？！</color>
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BGM>BGM_Room</BGM>:M4，你怎麼了？+又開始走神了？
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:我只是在搜尋最佳路線，我……我們得立即跑起來！
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:可是我們不是要躲避敵人的視野……
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||<黑屏1>:沒有這個時間了！+快！跟著我行動！
