()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:同一時間，M16A1的躲藏點……
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:唉。 +牛是吹出去了，不過還是有個幫手比較可靠吧。+雖然……
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>26</BIN><BGM>BGM_Sneak</BGM>:我猜你不是來幫忙的，對嗎。
？？？()<Speaker>？？？</Speaker>||:是不是覺得，來的是個鐵血會更好？
M16A1()<Speaker>M16A1</Speaker>||:無所謂啦，反正也不是沒想過這種情況。+不過作為格里芬的人形，卻要獵殺鐵血以外的人形，至少給個理由嘛。
？？？()<Speaker>？？？</Speaker>||:作為404小隊專屬的許可權，任何阻礙到我行動的人形，無論敵我都可以予以攻擊。
M16A1()<Speaker>M16A1</Speaker>||:哎呀……你們的許可權，還真是方便啊，我有點羡慕呢。
？？？()<Speaker>？？？</Speaker>||:閉嘴，M16！+你明明知道……這個代價是什麼……
M16A1()<Speaker>M16A1</Speaker>||:（聳肩）……那麼，我真的有這麼礙眼嗎？
？？？()<Speaker>？？？</Speaker>||:說實話吧，我從沒有因為這份許可權感到開心，除了這一次。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:老實說，在國家安全局的時候我還挺喜歡你的，就那一次。+而這一次，終於要攤牌了吧……
HK416(0)<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:……HK416。
HK416(0)<Speaker>HK416</Speaker>||<黑屏1>:開始吧，M16A1。+這一次，你終於逃不掉了。
