 ()||<BGM>BGM_Sneak</BGM><Night><BIN>1</BIN>:………行動完成，FAL與FN小隊成員會合。
FAL(0)<Speaker>FAL</Speaker>||:你們兩個，太慢了。
FN49(0)<Speaker>FN49</Speaker>||:實、實在抱歉！FAL小姐，這裡敵人太多了，我們繞了很久……
FAL(0)<Speaker>FAL</Speaker>||:57，你當時該把會合點定在靠她們更近的地方。
FN57(0)<Speaker>FN57</Speaker>||:是她們說沒問題的呢，我就沒再多問了。
FN49(0)<Speaker>FN49</Speaker>||:對不起……我們以為可以在規定時間抵達的，看來有些勉強了……
FAL(0)<Speaker>FAL</Speaker>||:明知自己做不到就不要勉強，多點自知之明吧。
FN57(0)<Speaker>FN57</Speaker>||:別太苛責她們了——FN49，你們下次注意就好。+現在，告訴我們偵察結果吧？
FN49(0)<Speaker>FN49</Speaker>||:好的……情報都在FNC這裡，FNC？+FNC？快別吃了，說話！
FNFNC(0)<Speaker>FNFNC</Speaker>||:唔……唔……！好了！+那個……我們都查清楚了！+當地的鐵血人形頭目的確是煉金術士，而且，基本確定它就是這次人形失蹤事件的元兇。
FN57(0)<Speaker>FN57</Speaker>||:煉金術士？沒想到它果然還在這裡……+明明這個區域對鐵血已經沒什麼價值了，為什麼……
FAL(0)<Speaker>FAL</Speaker>||:它為什麼在這裡並不重要，接下來，我們來商議作戰計畫吧。
FNFNC(0)<Speaker>FNFNC</Speaker>||:誒，這就要開工了？就我們四個？
FN57(0)<Speaker>FN57</Speaker>||:FN小隊的另外兩個成員還有其他任務，所以這次也請多指教了。
FN49(0)<Speaker>FN49</Speaker>||:感謝，我們深感榮幸，一定會好好加油的！
FAL(0)<Speaker>FAL</Speaker>||:加不加油沒關係，按我吩咐的做就夠了。
FN57(0)<Speaker>FN57</Speaker>||:FAL，稍稍鼓勵下她們嘛，畢竟是新人來著……
FAL(0)<Speaker>FAL</Speaker>||:FNC，FN49，我選中你們加入行動的原因很簡單。+你們的烙印和我們有點相近，行動時效率會高一些，僅此而已。+雖然只是臨時隊員，但只要表現夠好，你們的獎勵肯定會很豐厚的。
FNFNC(0)<Speaker>FNFNC</Speaker>||:哦哦哦哦——我們這次能立大功了嘛！
FAL(0)<Speaker>FAL</Speaker>||:或許吧，容我看一下地圖……+……區域裡最顯眼的建築，就是那個荒廢的基地吧？
FN57(0)<Speaker>FN57</Speaker>;FAL(0)||:是的，根據情報，那裡就是之前AR15劫走M4A1的地點。
FN57(0);FAL(0)<Speaker>FAL</Speaker>||:哼哼……這還是我們的地標建築嘍？+正好基地分成了兩個區域，兩個人剛好，那就定在這裡吧。
FN57(0)<Speaker>FN57</Speaker>;FAL(0)||:你的笑容太陰沉了……FAL，這回又有什麼餿主意？
FN57(0);FAL(0)<Speaker>FAL</Speaker>||:我們要抓到煉金術士，首先要做的是什麼？
FN57(0)<Speaker>FN57</Speaker>;FAL(0)||:當然是找到它了。
FN57(0);FAL(0)<Speaker>FAL</Speaker>||:幸運的是，它會主動行動，不過前提是……
FN57(0)<Speaker>FN57</Speaker>;FAL(0)||:……有獵物值得它出手。
FN57(0);FAL(0)<Speaker>FAL</Speaker>||:所以最有效率的方案，就是……
FN57(0)<Speaker>FN57</Speaker>;FAL(0)||<BGM>BGM_Empty</BGM>:……誘餌。
FN57(0)<Speaker>FN57</Speaker>||<黑屏1>:哦……我明白了……（望向FN49和FNC）
FNFNC()<Speaker>FNFNC</Speaker>||<黑屏2><BIN>9</BIN>:嗚？……怎麼了？
FN49()<Speaker>FN49</Speaker>||<黑屏1>:誒？難道說……+誒——？？？！！
