()||<BIN>55</BIN><Night><BGM>BGM_Sneak</BGM>:……行動結束，到達工廠前。
NEGEV(0)<Speaker>內蓋夫</Speaker>||:比預計的時間還要快，進步很大哦，指揮官。+看過M4A1那次作戰我就知道，選擇你是不會有錯的。+最後一步，好好達成吧。
TAR21(0)<Speaker>TAR-21</Speaker><通讯框>;NEGEV(0)||:內蓋夫，鐵血的巡邏部隊還有15分鐘就到我這邊來了，有辦法引開它們嗎？
TAR21(0);NEGEV(0)<Speaker>內蓋夫</Speaker>||:我這裡沒有人手。
TAR21(0)<Speaker>TAR-21</Speaker>;NEGEV(0)||:我要是出了意外，你就虧慘了，知道吧？
TAR21(0);NEGEV(0)<Speaker>內蓋夫</Speaker>||:當然，所以先等一下吧。+“她們”差不多該回來了。
AR(0)<Speaker>加利爾</Speaker><通讯框>;NEGEV(0)||:喂，內蓋夫！
AR(0);NEGEV(0)<Speaker>內蓋夫</Speaker>||:什麼啊，你真的活下來了啊。
AR(0)<Speaker>加利爾</Speaker>;NEGEV(0)||:哈，託您的福，總算脫險了。+不過下回能不能找個更靠譜的傢伙來接我啊？
AR(0);MicroUZI(0)<Speaker>微型烏茲</Speaker><通讯框>||<震屏>:喂，得救了不說聲謝謝還挑三揀四啊你！
AR(0)<Speaker>加利爾</Speaker>;MicroUZI(0)||:哈，要不是我先幫你把追擊的鐵血都幹掉，你當時都自身難保了吧？
AR(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||<震屏>:還不是為了救你！剛歸隊就接到這種吃力不討好的工作我就容易嗎！
AR(0)<Speaker>加利爾</Speaker>;MicroUZI(0)||:哈哈，抱歉，我可不是那種聽到“我都是為了你好”就會老實感恩的乖乖女啊。
AR(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||:我當然知道，所以我才討厭回來！一個個都是不可理喻的怪胎！
NEGEV(0)<Speaker>內蓋夫</Speaker>;MicroUZI(0)||:結果你還是回來了。+哼哼，果然找不到更適合的地方了吧？
NEGEV(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||:呿，還不都是你們害的。+尤其是你，內蓋夫，你是最胡來的！
NEGEV(0)<Speaker>內蓋夫</Speaker>;MicroUZI(0)||:完美可不是我的強項，我只要勝利就足夠了。
NEGEV(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||:真是的……你這個不計代價的作戰風格，到底是跟誰學的啊！+我們周圍有哪個不是摳門的小氣鬼嗎！
NEGEV(0)<Speaker>內蓋夫</Speaker>;MicroUZI(0)||:好啦，既然通過了測試，就快點開始下一個工作吧。
NEGEV(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||:喂，我可沒說——
NEGEV(0)<Speaker>內蓋夫</Speaker>;MicroUZI(0)||:塔沃爾那邊有點麻煩，加利爾、微型烏茲，你們過去弄點噪音，把附近的巡邏隊引開。+十分鐘之內搞定，快點。
AR(0)<Speaker>加利爾</Speaker><通讯框>;MicroUZI(0)||:哈，足夠了，我先打理下頭髮，都被風沙給……
AR(0);MicroUZI(0)<Speaker>微型烏茲</Speaker>||<震屏>:什麼跟什麼啊！還剩十分鐘了，還不快起來！
AR(0)<Speaker>加利爾</Speaker>||:喂喂！你這個——！+等一下，來得及啊——
()||<BGM>BGM_Empty</BGM>:……通訊結束。
NEGEV(0)<Speaker>內蓋夫</Speaker>||:這下就全都搞定了。+最後，只剩下那個鐵血頭目了……+那個遊蕩在工廠中陰魂不散的傀儡……
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:哎呀……你在說誰是傀儡呢，這位小姐？
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-11(0)||:……！+夢想家……+情報顯示你明明在——
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:我在哪裡？我哪裡都可以出現。+尤其是，你需要我出現的時候。
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-11(0)||:你就是那個……大家都不敢動手的強敵。+你一直在觀察著我們？遠端控制你的傀儡？
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:這是我負責的花園呢，不允許外人來沾染它哦。+也許我猜錯了，你只是不小心路過這裡，然後想灰溜溜地逃走？
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-11(0)||:戰場上不要節外生枝，這是我的前輩教導過我的。
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:可我覺得你不會是個好孩子，和我一樣。
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-11(0)||:我的確一直在辜負她，拖她的後腿……+所以她才記得我，記得我這個總能給她帶來驚喜的壞學生。
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:那麼，我對你來說算是驚喜嗎？
NEGEV(0)<Speaker>內蓋夫</Speaker>;BOSS-11(0)||:……不。+你的一部分才是，戰鬥結束後，我會慢慢挑的。
NEGEV(0);BOSS-11(0)<Speaker>夢想家</Speaker>||<黑屏1>:內蓋夫，這是你的名字對嗎？+雖然是第一次交談，不過……我已經喜歡上你了……
<Speaker>夢想家</Speaker>()||<BIN>9</BIN><黑屏2><黑屏1>:所以，可以吃掉你嗎？
