()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:所以，我們從哪裡開始聊起呢？+不如就從……那個倒楣的萊柯開始？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:…………+萊柯的事我也很遺憾。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:不不，沒什麼好遺憾的，這是命運，是上天交給他的使命，只不過他正好是那個倒楣鬼罷了。+卡特剛才應該說了他要什麼東西對吧，是叫……“伊萊莎”來著？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:……那個一直在指揮鐵血和我們對抗的AI。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:伊萊莎啊，真是個好名字啊，不過它真的那麼重要？重要到需要軍隊搞這麼大的動靜來解決她？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:這是為了後續人形技術的未來，軍隊需要更好的人形技術作為未來的儲備。
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:哈哈哈哈！哎呀……克魯格先生……+你真的相信卡特說的什麼技術未來的鬼話？我自己就是造人形的，我可不覺得一個自我運算的AI能比我們公司上千人的團隊強多少。+再說了，人形而已……在這個年頭，步兵的輔助設備哪裡會入得了那些經過戰爭洗禮的老狐狸們的法眼？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:你的意思是……
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:鐵血使用的是什麼網路？那個伊萊莎又是基於什麼東西設計的？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:歐伽斯……？你是指卡特是想要那套歐伽斯系統？不過那不是在80年代就被拋棄的東西嗎？
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:看來你踩到點子上了，我們現在幸好不用受80年代的糊塗領袖指揮了，否則大家現在只能靠在西伯利亞挖土豆求生了。+我能告訴你的，就是這個東西不是從什麼好地方裡發掘出來的，那個……曾經是大家非常關注的地方。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:…………
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑屏1>:要我說，這玩意也未必是卡特自己想要的，克魯格先生。+卡特也不過是當中一個微不足道的執行者而已，而真正在指示的人嘛……嘿嘿嘿……+想必你也知道，一個超越國家的聯盟正在慢慢形成。+但是總有一些保守勢力想要阻止這跨時代的創舉，而誰贏誰負則往往看誰能擁有更多力量。
()||<黑屏2><BIN>9</BIN>:…………哈威爾湊到克魯格身邊。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:克魯格先生，我這次過來，是給你一個忠告，告誡你不要成為飛在風暴中的一隻小鳥。+風暴會撕毀捲入它的一切，它不會在意這只小鳥是不是無意間飛進去的。
()||:…………哈威爾起身準備離開。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:要是失去了你這麼個大主顧，我也挺難在董事會上交代的，畢竟我還想多領點薪水安度晚年呢。
克魯格()<Speaker>克魯格</Speaker>||<黑屏1>:…………
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>79</BIN>:…………這個時候，門開了。
NPC-Carter(0)<Speaker>卡特</Speaker>||:久等了，已經解……哈威爾！
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<BGM>BGM_Sneak</BGM>:（看了眼克魯格）我就說吧，五分鐘。
NPC-Carter(0)<Speaker>卡特</Speaker>||:我就知道是你搞的鬼！除了你沒人會幹這種缺德的事！+哈威爾，你怎麼敢在這種場合下做這種讓我丟臉的事！
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:哎呀卡特將軍，你指的是什麼？作為一個身份高貴的軍人，我認為您的發言應該更謹慎才對。
NPC-Carter(0)<Speaker>卡特</Speaker>||:立刻從我面前消失，不然我現在就用你的破拐杖把你另一條腿打折！
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:好的好的，您是將軍你說了算，我現在就走。
()||:…………哈威爾湊到克魯格耳邊。
哈威爾()<Speaker>哈威爾</Speaker>||:我只是派人把來賓的車胎都放了氣而已，哦，除了你的。嘿嘿嘿……
()||:…………哈威爾起身準備離開。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑屏1>:哦，還有那邊那位指揮官，我很看好你，相信不久的將來我們還會碰面的。+那麼諸位，後會有期了。
