()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………兩小時後。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:RO……？
RO635(0)<Speaker>RO635</Speaker>||:你醒了？
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:過去了多久？
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:大概……兩個小時……？
RO635(0);SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:都過了那麼久了嗎……你在做什麼？
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:M16那個箱子不是裝了小型發信器嗎？+我在試試能不能放大它的信號，指揮官他們也一定在找我們，能聯繫上的話我們就有辦法撤離了。
RO635(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:真的嗎？你還會做這種東西？
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:畢竟我體力比不上你，總得有些比你強的地方吧。+嗯，好了，接下來就等慢慢充電了？
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:這個還需要充電？
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:畢竟發射大功率的信號還是需要一定能量的。+我從我的備用能源裡慢慢往裡輸送，這樣能保證充電的同時我自己不會癱瘓。
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:聽……聽起來好高端，AR小隊從來沒做過這樣的事，這還是第一次。
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:哈哈，那還真是榮幸啊。+對了，正好可以跟我說說以前AR小隊的故事，反正充電還需要一段時間。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:唔……+過去的事嘛，我想想啊。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:啊有了！+我記得AR小隊第一次進行演習，那簡直就是場災難！
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>74</BIN><黑屏2><BGM>BGM_Room</BGM>:……那次演習我們一共花了五個小時。+其中光是M4A1修正自己命令的時間，就浪費掉兩個小時。+在這兩個小時裡，我們進錯了房間，半個身體泡到冷水了將近20分鐘，射擊了錯誤的靶機，還打壞了三台剛好報時嚇到M4的鐘錶。
RO635()<Speaker>RO635</Speaker>||:哎…………出乎我的意料啊，就算普通人形的隊長，也不至於在演習中犯這麼多錯……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:大概這就是新型指揮人形吧，你知道，本來我們以為進了精英隊伍，結果發現隊長是這麼不靠譜的傢伙。+而AR15……你知道她是最在乎結果的傢伙，她到最後簡直是把【討厭】這個詞寫到了臉上。+M4當時很害怕，問M16怎麼辦，畢竟那時候只有M16姐會和她說話。+M16當時告訴M4，別在意AR15就行了，否則M4絕對會犯更多更大的錯，得罪更多的同伴。+然後M4沉默了一會兒，跟M16說不行，這樣是解決不了問題的。+於是她跑到AR15面前說抱歉，我不是故意的。結果AR15瞪了她一眼，說了句“你真該聽M16剛才說的”就走了。+M4當時超害怕，她大概又想回去向M16解釋，就猛地得一轉身，她忘了M16就在她後面。結果她倆撞了個滿懷。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>75</BIN>:最嚴重的是，M4槍托還捅在了M16肚子上！
RO635()<Speaker>RO635</Speaker>||:啊……那一定很疼。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:是啊，幾乎沒人能看到M16露出那種表情。+緊接著M16咬著牙就說，“你看，更大的錯，現在你還把我得罪了。”
RO635()<Speaker>RO635</Speaker>||:哈哈，那這次行動完成了嗎？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:勉勉強強算是吧，只是最後的小插曲……關鍵是這個，這個你一定要聽！
RO635()<Speaker>RO635</Speaker>||:是什麼呢？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:M4做了個驚天舉動，讓所有人都哭了出來！
RO635()<Speaker>RO635</Speaker>||:所有人？她做了什麼感動人的事麼？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:這個嘛……她拉響了一個催淚瓦斯彈。+我們本該摧毀最後的目標，但M4太緊張了……+她唯獨搞錯了自己的行動，在我們同步射擊時把那玩意丟出去了，而且角度沒算好，於是……彈了回來。
RO635()<Speaker>RO635</Speaker>||:喂……這真不是人形會算錯的事情啊。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:所以我們都完蛋了，所有人在催淚瓦斯裡哭了個痛快。+AR15一邊哭著一邊要去打M4，你知道嗎？是真的要動手去打……+但是她什麼都看不清，只是一邊伸手一邊喊，“M4！你這個笨蛋！”+“你沒救了！你的腦袋跟龍蝦一樣全是生理垃圾！我要揪住你的衣領給你幾個耳光幫你的雲圖來次物理消毒！讓我抓到的話！讓我抓到你的話！”+然後M16說，“別生氣啦AR15，我們至少幹掉了目標，再說M4的衣服根本沒領子，你只能像人類女性打架一樣揪她頭髮。”
RO635()<Speaker>RO635</Speaker>||:哈哈，我在以前小隊看到過好幾次，為了一包糧食或者兩箱礦泉水……+那M16也在哭嗎？
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:當然啦，這大概是M16姐唯一一次哭得這麼慘吧，雖然我也沒看清呢。+因為我當時也在哭啦，雖然同時還在笑……沒錯，你不覺得超好玩嗎？+大家行動前認真的不得了，直到她們一邊痛哭流涕一邊亂成一團，我這時候才覺得那些傢伙和我一樣。
RO635()<Speaker>RO635</Speaker>||:那M4呢？她一邊哭一邊在做什麼？
