20467<-ID->()||<BIN>83</BIN><BGM>BGM_Hello</BGM>:……+格里芬基地角落。
20468<-ID->C96(0)<Speaker>C96</Speaker>||<BIN>83</BIN>:啊！海盜又要來和大家炫耀啦！
20469<-ID->MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:哼哼，你們看，這可是指揮官特別表揚我的獎品！+而且格琳娜小姐還特別進了一批適合我的新裝備哦！
20470<-ID->C96(0)<Speaker>C96</Speaker>;MP446Mod(0)||<BIN>83</BIN>:格琳娜小姐根本就只是想趁機讓你花掉獎金而已吧！+你也太容易上當了！
20471<-ID->C96(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:那又怎麼樣！至少她還特別打折過了啊！+剛剛好可以把之前的裝備全部換成新的！
20472<-ID->M1919A4(0)<Speaker>M1919A4</Speaker>;MP446Mod(0)||<BIN>83</BIN>:啊……真好啊……+好羡慕有新的裝備哦。
20473<-ID->MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:哼哼，畢竟我可是費了很大的努力才從那個又黑又冷的地方堅持下來呢。+現在的我可是戰勝了黑暗哦！
20474<-ID->P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN>:哦？真的嗎？+要不然……我們今天晚上再出去一次怎麼樣？+上次你的運氣太好了，搞不好你還是一個膽小鬼啊！
20475<-ID->P7(0);MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:不是我不想去，而是我不想又因為我要逞強所以又害大家遇到什麼危險。+如果真的要試的話……大倉庫那邊怎麼樣？+不管你怎麼玩都可以哦。
20476<-ID->P7(0)<Speaker>P7</Speaker>;MP446Mod(0)||<BIN>83</BIN>:呿……在自己基地裡就不好玩了啊……
20477<-ID->MP446Mod(0)<Speaker>MP-446</Speaker>||<BIN>83</BIN>:那就這樣啦！+畢竟不能因為我個人的衝動給其他人造成煩惱嘛！
20478<-ID->()<Speaker></Speaker>||<BIN>83</BIN>:……
20479<-ID->P7(0)<Speaker>P7</Speaker>||<BIN>83</BIN><黑屏1>:唉……明明前幾天還很好玩的，怎麼突然就變成大家的頭領呢……+那好吧！+畢竟，也該是去找新的玩弄對象的時候啦！
