()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
MLEMK1(0)<Speaker>李·恩菲爾德</Speaker>||<BIN>80</BIN><Night><黑屏2><BGM>BGM_Hello</BGM>:WA2000小姐……
WA2000(0)<Speaker>WA2000</Speaker>||:有什麼值得驚訝的。+我是為了殺戮而生的精英人形，這種程度的戰術還是得心應手的。+說到底，這個遊戲本來就很簡單。+是妳想得太多了。
MLEMK1(0)<Speaker>李·恩菲爾德</Speaker>||:原來您並不是那麼單純的人……
WA2000(0)<Speaker>WA2000</Speaker>||:……妳在說我是笨蛋嗎？+妳該不會其實很不甘心吧？
MLEMK1(0)<Speaker>李·恩菲爾德</Speaker>||:我在執行任務的時候，也常常陷入不得不面臨「賭博」的境地。+而一旦我賭錯，就不僅僅是我自己受到傷害那麼簡單了。+身為隊長，我要對自己的選擇負責。
M1903(0)<Speaker>春田</Speaker>||:畢竟是第一次玩，會有這樣的失誤是很正常的。+不用在意，李小姐。+您的這種謹慎的個性和大膽的判斷，是要結合豐富的經驗使用的。+所以您在執行任務時所向披靡，卻會在牌桌上吃虧，區別就在這裡。+您只是玩的太少了而已。
WA2000(0)<Speaker>WA2000</Speaker>||:別搞錯情況了。+我們之所以聚在這裡打牌，就是為了暫時遠離槍林彈雨的生活。+如果妳抱著那種心態來玩，就毫無意義了。
MLEMK1(0)<Speaker>李·恩菲爾德</Speaker>||:可我們是人形，WA2000小姐，我們的職責就是戰鬥。+我們做這樣的事真的存在意義嗎？
WA2000(0)<Speaker>WA2000</Speaker>||:我不知道這樣有沒有意義，我只是想做，所以就做了。+我們是人形，妳更希望自己像人，還是像形，全在妳自己。+因為人類比我們脆弱，所以他們需要「娛樂」來調節自我。+而我們透過「娛樂」能找到什麼呢？+我也正在找答案就是了。
M1903(0)<Speaker>春田</Speaker>||:雖然WA2000妳好像難得說了好聽的話。+不過「像形」這個說法，總覺得挺奇怪的呢。+可不能為了漂亮話就亂造詞喔？
WA2000(0)<Speaker>WA2000</Speaker>||:……囉嗦，多管閒事！
MLEMK1(0)<Speaker>李·恩菲爾德</Speaker>||<黑屏1>:抱著娛樂的心態……嗎？
