()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>BGM_Hello</BGM>:維爾德猛然坐起身看向周圍。
()<Speaker>維爾德</Speaker>||:宿舍？我怎麼回來了？+呃啊、雲圖燒壞的痛感好像還留在腦子裡……嘶……
()<Speaker>？？？</Speaker>||:你醒了？
()<Speaker></Speaker>||:維爾德轉過頭，熟悉的粉髮人形坐在她身邊，微笑著注視她。
()<Speaker>維爾德</Speaker>||:米希亞……你把我送回來了？+大家都還平安嗎？黃區的事情辦下來了嗎？人……
sub2000(5)<Speaker>米希亞？</Speaker>||:等等，等等，別一口氣問那麼多，讓我一個個回答。+首先，我現在叫sub2000，明白了嗎？
sub2000(5)<Speaker>維爾德</Speaker>||:好吧，sub2000，看起來你不用我推薦入職了。
sub2000(5)<Speaker>sub2000</Speaker>||:沒錯，我也是格里芬的一員了。+第二和第三個問題，是的，大家都很好。
sub2000(5)<Speaker></Speaker>||:說著，sub2000拿出終端，調出照片給維爾德看。
sub2000(5)<Speaker>sub2000</Speaker>||:他們在黃區靠城市的邊緣安頓下來了，你看，他們還開墾了一個菜圃。
sub2000(5)<Speaker>維爾德</Speaker>||:看起來好小。
sub2000(5)<Speaker>sub2000</Speaker>||:別不知足了，他們的機動力你又不是不知道。
sub2000(5)<Speaker>維爾德</Speaker>||:那我去幫他們！不知道我的假期還夠不夠，讓我先去見一下指揮官。
sub2000(5)<Speaker>sub2000</Speaker>||:你當然得見。我說啊，你到現在都不覺得哪裡不對嗎？
sub2000(5);WelrodMod(0)<Speaker>維爾德</Speaker>||:……什麼？
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:指揮官說你的雲圖已經全燒壞了，乾脆就趁這個時間給你換了一個。+按照你們這兒的說法，「心智升級」。
sub2000(5);WelrodMod(0)<Speaker>維爾德</Speaker>||:啊……我沒什麼感覺。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:第四個問題，你不用去幫他們。+鎖匠他們說他們自己能做，等弄好了就邀請你去。
sub2000(5);WelrodMod(0)<Speaker>維爾德</Speaker>||:能行嗎？
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:「你的努力，你那顆金子般光明而勇敢的心，為我們指明了前路。當然，這麼走下去到底會怎樣，誰也不能打包票……但是只要去做，總會有改變的。你不就給我們示範了這一點嗎。」+他們是這麼說的。
sub2000(5);WelrodMod(0)<Speaker>維爾德</Speaker>||:……聽著好讓人尷尬啊。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:你可以把害羞說得好聽一點嗎？
sub2000(5);WelrodMod(0)<Speaker></Speaker><同时点亮>||:兩個人形面面相覷，幾秒後一起笑出聲來。
sub2000(5)<Speaker>sub2000</Speaker>;WelrodMod(0)||:能和你一起工作真是太好了……維爾德，太好了。+如果不是你，我做夢都想不到會走到這一步。
sub2000(5);WelrodMod(0)<Speaker>維爾德</Speaker>||:哈哈……在這兒你可別一言不合就自毀啊。
sub2000(5)<Speaker>sub2000</Speaker>||:聽不懂，我只是個轉行的瑜伽教練。
()<Speaker></Speaker>||<SE1>AVG_doorknock_wood</SE1>:咚，咚。+敲門聲在此時響起，打斷了兩人的玩笑。
WelrodMod(0)<Speaker>維爾德</Speaker>||:請進？
M82A1(0)<Speaker>M82A1</Speaker>;WelrodMod(0)||<SE1>AVG_Door_Open_Close</SE1>:我聽說你醒了，就過來看看。+抱歉，我沒想到會有這麼大的風波……你還好嗎？
M82A1(0);WelrodMod(0)<Speaker>維爾德</Speaker>||:啊，還好。這趟其實沒有什麼麻煩，只是我自己想做別的事情才弄成這樣。
sub2000(4)<Speaker>sub2000</Speaker>;WelrodMod(0)||:……
M82A1(0)<Speaker>M82A1</Speaker>;WelrodMod(0)||:這位是？
WelrodMod(0)<Speaker>維爾德</Speaker>||:這位是sub2000，我們的新同事……+sub2000？你怎麼了，怎麼這樣看著M82A1？+……死機了？
sub2000(4)<Speaker></Speaker>;WelrodMod(0)||<BGM>BGM_Empty</BGM>:在維爾德連聲呼喚下，sub2000終於有了反應。+她盯著M82A1，連聲音都在顫抖。
sub2000(2)<Speaker>sub2000</Speaker>||:米希亞……你怎麼會在這裡？
M82A1(0)<Speaker>M82A1</Speaker>||:……
WelrodMod(0)<Speaker>維爾德</Speaker>||:……
()<Speaker></Speaker>||<黑屏1>:維爾德忽然覺得，也許事情離落幕還有很遠……
