()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>82</BIN><黑屏2><BGM>BGM_Hello</BGM>:格里芬基地，宿舍內。
G36C(0)<Speaker>G36C</Speaker>||:……
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:……
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:……
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:喂，G36C。特意把我叫過來，該不會是要和我交流冥想的經驗吧？+你什麼時候有這種興趣的，要是無聊的話，我去把棋盤拿過來。
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:不是的，XM8。我只是想……97式霰說，明天萬聖節會有試膽大會。我想去參加……
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:哦！那不是挺好的嗎？+難道你是又想去又害怕，想找我陪你一起？
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:嗯，那個只是一方面。我想請你幫我想想，明天該用什麼樣的裝束過去。
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:這個問G36不是更好嗎？
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:G36姐明天和我一起過去，我也想給她一個驚喜。
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:就穿點嚇人的過去吧。像是那種喪屍裝扮之類的……來，讓我看看你的衣櫃。+……+……不是吧，G36C。你的櫃子裡，怎麼全是……制服？
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:抱歉，因為平時都在基地或者前線，我沒有準備其他的服裝。
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:這完全沒有可以轉圜的餘地嘛！不然乾脆搞來點紅色的顏料，往你的衣服上多潑一點，裝成被害的女學生好了。
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:這樣會不會有點太嚇人了？而且很不好清洗，G36姐會花掉很大精力的。
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:你還真是麻煩耶。+嗯？這件衣服是……
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||<震屏>:……不是吧，唯一不一樣的還是浴衣？牽牛花圖案也太老套了吧！
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:這件的紋樣和G36姐差不多，我覺得穿著很好看。但試膽大會穿這個完全不嚇人……吧？
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:又要嚇人又不能太嚇人，不要為難我啊，大小姐！
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:果然還是太困難了嗎，抱歉……+還是算了，謝謝你，XM8。
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:喂喂，別露出那種表情啊，像被雨淋濕的狗一樣……簡直好像我幹了什麼壞事一樣。+好了，我來再幫你想想辦法。
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:真的嗎，會不會太麻煩你了？
XM8(0)<Speaker>XM8</Speaker>;G36C(0)||:都把人叫過來了就別說這種話了吧。+嗯……我想想。又要嚇人，又要不太過嚇人。搶眼的，至少可以嚇到G36的裝扮。+……我有一個主意，但這要你本人也有足夠的膽量才行。
XM8(0);G36C(0)<Speaker>G36C</Speaker>||:果然拜託XM8是對的！是什麼樣的裝扮呢？
