()<Speaker>MP7</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:臭·老·鼠——！+給我站住！
()<Speaker>指揮官</Speaker>||<SE1>Runstep</SE1><震屏3><黑屏1>:……+<color=#A9A9A9>……難得的聖誕節，如果可以的話，真希望不要一大早就出現讓人頭疼的事。</color>
()<Speaker>指揮官</Speaker>||<BGM>m_avg_casual</BGM><BIN>81</BIN><黑屏2>:……所以，發生了什麼事？
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>我來到吵鬧的發源地，眼前所見的是一片狼藉的走廊。</color>
AA12(0)<Speaker>AA12</Speaker>||:啊……指揮官，你終於來了。
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>一臉嫌麻煩的AA12是首先看到我的人，她一副終於解脫了的樣子，顯然是困擾了很久。</color>
()<Speaker>指揮官</Speaker>||:AA12……所以剛才那個聲音果然是MP7的嗎？
AA12(0)<Speaker>AA12</Speaker>||:我也不太清楚，總之您自己過去看看吧。+我實在不想被捲進去……
()<Speaker>指揮官</Speaker>||:我也不是不能理解你的感受……我倒是已經猜到發生了什麼了。
MP7(0)<Speaker>MP7</Speaker>||<震屏3>:我就覺得很奇怪！為什麼明明沒有吃棒棒糖卻一直在變少！果然是你這只臭老鼠搞的鬼！
PDW(2)<Speaker>蜜獾</Speaker>||:貝特才不是老鼠！
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>倒是跟我想的差不多……</color>
()<Speaker>指揮官</Speaker>||:好了……不要吵了，MP7，蜜獾。我在辦公室都能聽見你們的聲音。+發生什麼事了？
MP7(0)<Speaker>MP7</Speaker>||:啊！飼養員你來得正好！+這只老鼠縱容她的寵物偷我的棒棒糖！
PDW(2)<Speaker>蜜獾</Speaker>||:貝特才不是寵物，是我的同伴，我也不是老鼠！而且你明明也對貝特使用暴力了吧！
()<Speaker>指揮官</Speaker>||:好了！別吵了！我說……<c>這件事確實是貝特的不對……<c>MP7你的反應太過度了。<c>兩邊各讓一步怎麼樣？
MP7(0)<Speaker>兩人</Speaker>;PDW(2)<Speaker>兩人</Speaker>||<分支>3</分支>:不要！
MP7(0)<Speaker>MP7</Speaker>||<分支>2</分支>:才沒有反應過度！
MP7(0)<Speaker>MP7</Speaker>||<分支>1</分支>:這是當然的吧！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:只不過是棒棒糖而已吧？
MP7(0)<Speaker>MP7</Speaker>;PDW(2)||:居然說只是棒棒糖——這是很嚴重的發言過失啊！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:又沒有說錯，又不是小孩子了，為區區的棒棒糖大動肝火，真不像話。
MP7(0)<Speaker>MP7</Speaker>;PDW(2)||:你說什麼——！
()<Speaker>指揮官</Speaker>||:好了！
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>眼前的兩人非但沒有各讓一步的意思，還有些越演越烈的架勢，我不禁頭疼了起來。</color>
()<Speaker>指揮官</Speaker>||:你們兩個的關係……也未免太差了吧。+<color=#A9A9A9>而且為什麼貝特居然會吃棒棒糖啊……想不明白，難道是故意要惹MP7生氣嗎？</color>
MP7(0)<Speaker>MP7</Speaker>||:這還用說嗎！我最討厭她了！
MP7(0);PDW(2)<Speaker>蜜獾</Speaker>||:彼此彼此。
MP7(0)<Speaker>MP7</Speaker>||:咿——！
()<Speaker>指揮官</Speaker>||<黑点1>:你們兩個，都不要吵了。+……我有個方案。
()||<BGM>BGM_Empty</BGM><黑点2>:……+……說明結束。
()<Speaker>MP7&蜜獾</Speaker>||<BGM>BGM_Hello</BGM>:啊！？
MP7(0)<Speaker>MP7</Speaker>||:飼養員你腦袋壞掉了嗎？憑什麼我的棒棒糖被人偷走了我還反而要送禮物給她不可啊！
PDW(2)<Speaker>蜜獾</Speaker>||:這樣的話我也正要說，指揮官。+我完全不明白這樣做的意義和理由是什麼。+跟這種人交換禮物有什麼哪怕一丁點的好處嗎？
()<Speaker>指揮官</Speaker>||:好了好了，都冷靜一下，聽我解釋。+你們兩個，這樣吵下去也沒完沒了的吧？+與其誰都不服誰，不如公平一點讓對方心服口服……雖然是這麼說，但你們沒有忘記今天是什麼日子吧？
PDW(2)<Speaker>蜜獾</Speaker>||:……是聖誕節。
MP7(0)<Speaker>MP7</Speaker>||:是聖誕節吧。
