关闭蒙版()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>73</BIN><黑屏2><BGM>BGM_Hello</BGM>:
()<Speaker></Speaker>||:9:00AM，馬卡洛夫正仰視著面前這個黑衣人形。+從立場上而言，馬卡洛夫才應該是處在高位的質問者，可她的氣勢已經被眼前的黑色人形壓倒。+被這個跨越無數戰場的名為Kar98K的人形所壓倒……
98k(0)<Speaker>Kar98k</Speaker>||:昨夜的事，我之前已經對你們交代清楚了。+我雖然討厭把同樣的話重覆很多遍，可面對你們這些纏人的傢伙我也只能這麼做。
PM(0)<Speaker>馬卡洛夫</Speaker>||:即便夜裡出現在指揮官房中的神秘人不是卡爾，但作為格里芬的人形，我們也有義務排查出這個人的真實身份，不是嗎？+這也是為了指揮官和格里芬的安全著想，卡爾你再仔細想想，夜裡進入指揮官房間時有什麼值得注意的線索？
98k(0)<Speaker>Kar98k</Speaker>||<黑屏1>:真拿你沒辦法……
()<Speaker></Speaker>||<回忆><黑屏2><BIN>18</BIN>:卡爾開始回溯數小時前的記憶，夜裡2：15，卡爾正在叩響指揮官的房門。
98k(0)<Speaker>Kar98k</Speaker>||:指揮官，您還有意識嗎？+真是的，指揮官一定又在晚宴上勉強自己，醉得不省人事了，所以說我才不想去那些喧鬧的場合。+看樣子三天後任務中的戰術方針，只能先由我擬定提供一版，等明天指揮官清醒後再由他做定奪了。
()<Speaker></Speaker>||:實際上，比起增加自己的工作量，現在的卡爾更擔心指揮官的狀態。
()<Speaker></Speaker>||<黑点1>:“如果能確認一下指揮官的現狀就好了”，懷著這樣的想法卡爾嘗試性地觸碰了房間的門把手。
98k(0)<Speaker>Kar98k</Speaker>||<黑点2><回忆><BIN>82</BIN>:房門並沒有鎖上，是把指揮官送來這的同僚們沒注意嗎？
()<Speaker></Speaker>||:卡爾就這樣進入了指揮官的房中，管理房中電力設備的總控LED螢幕發出的亮光是此時唯一的光源。+指揮官已經睡去，可卡爾卻注意到指揮官被那微弱光源所點亮的神情。
98k(0)<Speaker>Kar98k</Speaker>||:指揮官已經可以安心熟睡了。+這個房間本來通風就不好，溫控系統好像也沒調試到合適的程度。
()<Speaker></Speaker>||:卡爾悄悄地通過總控屏調試了室內的溫控和通風模組，彌漫在室內的酒氣想必很快就能散去。
98k(0)<Speaker>Kar98k</Speaker>||:<color=#A9A9A9>卡爾，你所做的都是為了讓指揮官快點緩過來，可以早些和你討論作戰方針……</color>
()<Speaker></Speaker>||:雖然卡爾在心中如此默念，但她在走出房間前還是以充滿關切的眼神回望了一下指揮官的側顏。
()<Speaker></Speaker>||<黑屏1>:
PM(0)<Speaker>馬卡洛夫</Speaker>||<关闭蒙版><黑屏2><BIN>73</BIN>:嗯，雖然斯捷奇金囑咐了我很多遍，“要注意卡爾話語中的細節，和其他人的話語對比，找出疏漏。”+但我好像很難同時做到這兩件事。
98k(0)<Speaker>Kar98k</Speaker>||:那我來提示你一下好了，為什麼我去訪問指揮官房間時，房門並沒有上鎖。+據我了解，晚宴最後送指揮官回房的是ZAS和灰熊，她們應該不至於那麼不仔細。
PM(0)<Speaker>馬卡洛夫</Speaker>||:說起來，我在詢問ZAS昨晚的事時，她好像是說離開時她有把指揮官房門的密碼鎖給重啟。
98k(0)<Speaker>Kar98k</Speaker>||:可我進去時密碼鎖已經關上了，至少可以斷言，在ZAS她們離開到我進入房間前，還有人進入指揮官的房間。
PM(0)<Speaker>馬卡洛夫</Speaker>||:也許我們已經獲得了突破性的線索，還有幾位人形有在夜間出沒於指揮官房間的跡象，我再去她們那裡了解一下狀況。
98k(0)<Speaker>Kar98k</Speaker>||:也別太輕率了，指揮官好像為此十分難堪。+早會之後指揮官似乎就躲著我們，明明還有需要和我商議的要事……
PM(0)<Speaker>馬卡洛夫</Speaker>||:就算讓指揮官困擾，這也是為了基地和大家的安全！+請相信我和斯捷奇金會很快解決這起事件。
()<Speaker></Speaker>||:馬卡洛夫在得到她想要的訊息後立即跑遠，她似乎不想在卡爾的重壓下多待哪怕一秒。
98k(0)<Speaker>Kar98k</Speaker>||<黑屏1>:信任……我現在可能開始質疑這種感情了。
()<Speaker></Speaker>||<黑屏2><BIN>18</BIN>:卡爾獨自一人漫步到了指揮官的房前，她還有想確認的事，可意外的身影卻緊隨其後。
98k(0)<Speaker>Kar98k</Speaker>||:有什麼想對我說的話，還請站到明處向我傳達。
APS(0)<Speaker>斯捷奇金</Speaker>||:不虧是久經沙場的卡爾，真是敏銳。
98k(0)<Speaker>Kar98k</Speaker>||:我無意捲入你和馬卡洛夫那無趣的遊戲中。+如果你對我還抱有什麼奇怪的期望，可以在這裡退下了。
APS(0)<Speaker>斯捷奇金</Speaker>||:既然如此，你為什麼會回到這裡？
