()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>98</BIN><BGM>BGM_Battle</BGM><SE1>AVG_rifle_finalshot_n</SE1>:響徹曠野的槍聲落下，餘音散去後，戰場又恢復了死寂。+M16A1收起槍，看向閃電的方向。+閃電向她做了個完成的動作，M16點了點頭。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<SE1>AVG_amb_wilderness</SE1>:好像拖得有點太久了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:誰都沒想到這個工作居然能拖幾天，也沒想到居然能跑這麼遠。
M16A1BOSS(0)<Speaker></Speaker>;OTs14(0)||:M16A1跟著她的目光轉頭，看向基地的方向。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:還好和指揮官報備過了，但是這時候……這個時間，她們應該已經開始聚會了吧。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:你很期待這場聚會？
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:算是吧。大家一起熱熱鬧鬧地吃東西，聊天，享受平靜……+這不是比拿槍更讓人嚮往嗎？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||<SE1>AVG_tele_connect</SE1>:也是。聚會上要是有酒就好了……走，我們快點回去，說不定能趕上尾巴。+M16A1呼叫總部。任務已完成，我們距離基地過遠，申請直升機到達9號戰區3機場。
M16A1BOSS(0);NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||:<color=#00CCFF>收到，請稍等~</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;NPC-Kalin(0)||:謝啦。
M16A1BOSS(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:格琳娜輕快的語調讓M16A1的神經放鬆了一些。+戰場此刻除了她們已經沒有會動的物體，她閉上眼睛，慢慢地調節自己的狀態，讓自己從戰鬥的緊繃中一點點解放。
OTs14(0)<Speaker>OTs14</Speaker>||:飛機到了，走吧。
()<Speaker></Speaker>||:在直升機的鳴響聲中，她們踏上返程。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<黑屏1>:<color=#A9A9A9>這個時間聚會大概已經開始了。SOP2也許正被RO拉著防止亂跑，AR15也許正在享受聚會。</color>+<color=#A9A9A9>M4呢，M4會在做什麼？</color>+<color=#A9A9A9>她會享受聚會嗎？還是……</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<BIN>83</BIN><黑屏2><BGM>BGM_Empty</BGM>:……糟了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||<SE1>AVG_footsteps_cave</SE1>:嗯？怎麼了？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:我……和M4約好了要一起去聚會，她還說給我準備了驚喜。
M16A1BOSS(0);OTs14(0)<Speaker></Speaker>||:閃電看了看時間，氣氛一時間沉默。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:啊，抱歉。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:都是同袍，這方面就不用客氣了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:違背與重要的家人的約定是很嚴重的事啊。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:所以……
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||<BGM>m_avg_casual</BGM>:明天我會帶著鮮花去看望你的墓碑。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:看在戰友的面子上，認真一點給我建議好嗎？+我不想穿著護甲去聚會，但除了那東西也沒有能擋住現在M4攻擊的了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:那麼明天我還是帶著鮮花去悼念你吧。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:那我就要從地獄裡爬出來抓你的腳踝了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:好了，不開玩笑了。+既然遲到已經不可避免，不如準備一些道歉禮物吧？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:也許吧……我努力一下。
M16A1BOSS(0)<Speaker></Speaker>;OTs14(0)||:M16A1長長地嘆了口氣。+閃電忍俊不禁，拍了拍她肩頭。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:我們到家了。
M16A1BOSS(0);NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>歡迎回來，閃電，M16！</color>+<color=#00CCFF>宴會已經快結束了，請穿上指揮官為你們準備的禮服再入場哦~</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;NPC-Kalin(0)||<SE1>AVG_tele_disconnect</SE1>:禮服？+……黑色的禮服，白髮穿看起來會很奇怪吧。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:看起來好像是根據你在格里芬的證件照來做的，的確不太合適。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:但是不去也不好，現在去把它改成白色的話……
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:來不及了吧。+等等，M16……雖然我們不能把它改成白色，但是能給M4A1的驚喜不就在你面前嗎？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:你是說……
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:人形換髮型髮色可比人類容易多了。
M16A1BOSS(0);OTs14(0)<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:閃電向她眨了眨眼。+M16A1瞬間領會了她的意思，若有所思地拿著禮服進了換衣間。
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>BGM_Hello</BGM>:半小時後，會場。+宴會已經步入尾聲，M16A1跟在閃電身後從側門溜進來，目光在會場裡巡迴尋找她心心念念的身影。
M4 SOPMOD II(1)<Speaker>SOP2</Speaker>||:M16！
M4 SOPMOD II(1);M16A1(1)<Speaker>M16A1</Speaker>||:SOP2，你怎麼從這裡鑽出來？
M4 SOPMOD II(1)<Speaker>SOP2</Speaker>;M16A1(1)||:M16，你這是去哪啊？
M4 SOPMOD II(1);M16A1(1)<Speaker>M16A1</Speaker>||:啊……我去幫M4拿些東西來。
M4 SOPMOD II(1);M16A1(1)<Speaker></Speaker>||:看起來SOP2沒有發現自己遲到的事。+M16A1暗自慶幸著，轉身就要走。
M4 SOPMOD II(3)<Speaker>SOP2</Speaker>;M16A1(1)||:……不要走。
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:什麼？
M4 SOPMOD II(3)<Speaker></Speaker>;M16A1(1)||<SE1>Rope</SE1>:M16A1的腰間忽然傳來一股大力。+SOP2用手臂鉗住了M16A1的腰，不由分說地將她舉了起來。
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:什麼？！
M4 SOPMOD II(3);M16A1(1)<Speaker></Speaker>||:面對忽然異常的同伴，M16A1在短暫的驚訝後，只產生了哭笑不得的情緒。+SOP2身上傳來的濃烈酒氣已經告訴了她事情的真相——SOP2喝醉了。+M16A1甚至能從那股若隱若現的櫻桃酒香裡判斷出SOP2喝掉的酒的類型。
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:SOP2，你在幹什麼？
M4 SOPMOD II(3);M4A1(7)<Speaker>M4A1</Speaker>||:SOP2，你在幹什麼！
M4 SOPMOD II(1)<Speaker>SOP2</Speaker>||:不準——欸？又回來了……
()<Speaker></Speaker>||<SE1>RunStep</SE1>:正在M16感到莫名其妙時，SOP2往嘴裡塞了一塊綠色的餅乾，扭頭跑開了。
M4A1(7)<Speaker>M4A1</Speaker>||:SOP2——+啊，追不上了。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:放心吧，M4，有人會去追她的。
M16A1(1);M4A1(7)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:M16A1拍了拍M4A1的肩膀寬慰，而M4立刻抬眼盯住了她。+纖細的眉頭皺緊，柔和的眼神也變得凌厲——M16A1立刻意識到，自己的妹妹要開始算帳了。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:晚上好，你今天這身看起來很漂亮。
M16A1(1);M4A1(6)<Speaker>M4A1</Speaker>||:謝謝。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(6)||:……<color=#A9A9A9>好冷淡，在生氣吧。</color>+這件事事出有因，你願意聽我解釋嗎？
M16A1(1);M4A1(7)<Speaker>M4A1</Speaker>||:……
M16A1(1);M4A1(7)<Speaker></Speaker>||<BGM>GF_Memorial</BGM>:出乎M16A1的預料，M4並沒有立刻開始抓著她的錯處數落。+M16A1看著她，從她的眼睛裡看見了過去的自己。+一切像是回到了最初，但兩個人都很清楚，現在的兩人走出了太遠，不會回去，也不必回去。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:……M4？
M16A1(1);M4A1(7)<Speaker>M4A1</Speaker>||:我……好像很久沒有見到你了。+明明前幾天才見過，對吧？
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:啊……哈哈。+這個樣子更熟悉吧？
M16A1(1);M4A1(8)<Speaker>M4A1</Speaker>||:很懷念，像是回到了當初。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(8)||:不生氣了？
M16A1(1);M4A1(6)<Speaker>M4A1</Speaker>||:你再提醒我的話，我就算你遲到了。
M16A1(1)<Speaker></Speaker>;M4A1(6)||:舞曲輕柔地奏響了。+M16A1向M4伸出手，迎著她的目光眨眨眼睛。
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(6)||:好吧，看來我來得不算太晚。+Shall we dance?
M4A1(7)<Speaker>M4A1</Speaker>||:當然。
()<Speaker></Speaker>||:M4握住她的手，兩人滑入舞池。+一舞結束，M4轉開，M16A1向AR15伸出了手。
AR15(3)<Speaker>AR15</Speaker>||:邀請？
M16A1(1)<Speaker>M16A1</Speaker>||:久別重逢。
()<Speaker></Speaker>||:旋轉，旋轉，裙擺揚起又落下。+M16A1和每一位AR小隊的成員都跳完一支舞，最後，她將手伸向指揮官。
M16A1(1)<Speaker>M16A1</Speaker>||:來吧，指揮官。+為我們的重逢慶祝一下，待會兒再陪我喝一杯？
M16A1(1)<Speaker>指揮官</Speaker>||:……
M16A1(1)<Speaker>M16A1</Speaker>||:猶豫什麼？我們也不需要再客氣了吧。
M16A1(1)<Speaker></Speaker>||:雖然這麼問著，她已經握住了指揮官的手，在新的曲子奏響時一起滑入舞池。
M16A1(1)<Speaker>M16A1</Speaker>||:雖然這麼說，我也沒想到會有這麼一天，能再和你這樣見面，甚至是跳舞。+我的舞技還不錯吧？+不清楚指揮官你和人形跳舞一般在哪邊，不過我只會跳男步，就配合一下我吧。
M16A1(1)<Speaker></Speaker>||:她牽著指揮官的手滑向舞池中央。+聚光燈下，M16A1對指揮官露出了柔和的微笑。
M16A1(1)<Speaker>M16A1</Speaker>||:在戰爭中共度難關，也在和平時共舞，我很高興。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:舞曲停止，M16A1鬆開了指揮官的手，悠然走向舞池邊緣。
M16A1(1)<Speaker>M16A1</Speaker>||<BGM>BGM_Moon</BGM>:你怎麼不去跳舞？
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:在這裡待著也不錯。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:一起跳一曲嗎？
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:不了，我想就在這裡看著。
M16A1(1)<Speaker></Speaker>;OTs14(6)||:M16A1也不勉強，和她一起靠在舞池邊上看著大家跳舞。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:你在看什麼？
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:你看到了什麼？
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:我看到了和平還有笑容。你呢？
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:我看到了和你類似的事物。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:我們看到的東西應該不會一樣吧。+分析模組，性格設定，還有個人的經驗……
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:是啊，但總有些東西是類似的。+能和喜歡的朋友、家人以及其他人在舞池裡無憂無慮地跳舞，吃美味的點心，喝最好的酒。+只是看著就覺得之前的戰鬥都不是白費，是不是？
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:你很擅長理解別人吧？
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:作為隊長的素質而已。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:是啊……還有什麼能比和平和重要之人的笑容更珍貴呢？+若是為了守護這些，即使要我粉身碎骨，也只是輕鬆的代價罷了。
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:還是重視自己一點比較好。+但是，難得聽你講起煽情的話，平時不都是在說戰術嗎？
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:你是不是把我和AR15記錯了？
M16A1(1)<Speaker></Speaker>;OTs14(6)||:兩人一起笑起來。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:為和平乾杯。
OTs14(6)<Speaker>OTs14</Speaker>||:乾杯。
()<Speaker></Speaker>||:叮。酒杯相碰一瞬，兩人各自一飲而盡。
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:那麼，請各位看過來~+宴會玩得開心嗎？
NPC-Kalin(1)<Speaker>眾人形</Speaker>||:開心——
NPC-Kalin(1)<Speaker>格琳娜</Speaker>||:那麼，我們就進入最後的環節——今夜限定攝影展！+我們的攝影師KSVK和M200用她們的鏡頭記錄了這場宴會從開始籌備到現在的許多個瞬間，各位是否能在鏡頭裡發現自己的身影呢？+在欣賞之餘，也請別忘了給自己心儀的照片投上一票~
OTs14(6)<Speaker>OTs14</Speaker>||:哦？還有這種活動啊。
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:……
M16A1(1);OTs14(6)<Speaker>OTs14</Speaker>||:M16？
M16A1(1)<Speaker>M16A1</Speaker>||:我看到了我需要的照片，我先去要底片了！
()<Speaker></Speaker>||:不等閃電反應，M16便走向了照片下標注的攝影師——KSVK。+她似乎剛從外面回來，M16大步過去，擋在她面前。
KSVK(9)<Speaker>KSVK</Speaker>||:M16……？
M16A1(1)<Speaker>M16A1</Speaker>;KSVK(9)||:和AR小隊相關的照片，給我一份數據可以嗎？
M16A1(1);KSVK(9)<Speaker>KSVK</Speaker>||:當然，值得紀念的回憶應該分享。+後面那幾位也是這樣想的吧？
M16A1(1)<Speaker>M16A1</Speaker>;KSVK(9)||<BGM>BGM_Empty</BGM>:……
M16A1(1)<Speaker></Speaker>;KSVK(9)||<BGM>BGM_Sunshine</BGM>:M16回過頭，AR小隊的其餘四人都站在她身後。+五個人面面相覷半晌，AR15別開頭，其他四人和KSVK都笑了起來。
M16A1(1);KSVK(9)<Speaker>KSVK</Speaker>||:好了，既然大家都在，不如來合照吧？
AR15(3)<Speaker>AR15</Speaker>||:我……
M4 SOPMOD II(1)<Speaker>SOP2</Speaker>||:好耶！
()<Speaker></Speaker>||:AR小隊的五個人鬧了一陣，總算擺好了姿勢。+M16A1摟著M4的肩膀，被AR小隊擠在中間，有片刻的愣神。
M16A1(1)<Speaker>M16A1</Speaker>||:<color=#00CCFF>就像M4說的，這樣聚在一起就像夢一樣……</color>+<color=#00CCFF>是啊。為了讓這樣的時光多一點，即使再要我付出什麼……</color>
KSVK(9)<Speaker>KSVK</Speaker>||:好的，那麼，三，二——
()<Speaker></Speaker>||:KSVK的聲音喚回了M16A1的思緒。她望向鏡頭，露出一個自然的笑容。
M16A1(1)<Speaker>M16A1</Speaker>||:一。
()<Speaker></Speaker>||<黑屏1><SE1>AVG_The_Division_Camera</SE1>:咔嚓。
