()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……格里芬基地走廊上。
()<Speaker></Speaker>||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:距離上次例會過去了好幾天，宴會也在如火如荼的準備中……
Saiga12(0)<Speaker>saiga12</Speaker>||:哎，如果只是普通的聚一聚，也太浪費少女的美貌了。
Saiga12(0)<Speaker></Speaker>||:這時，一個熟悉的身影出現在基地。
Saiga12(0)<Speaker>saiga12</Speaker>||:指揮官！好久不見——
Saiga12(0)<Speaker>指揮官</Speaker>||:早！今天過來感覺人好少啊，大家都在忙些什麼？
Saiga12(0)<Speaker>saiga12</Speaker>||:啊，指揮官還不知道吧，我們打算舉辦一次盛大的宴會哦！
Saiga12(0)<Speaker>指揮官</Speaker>||:欸？+是我疏忽了……要不按照以前的慣例，我去給大家買些飲料和零食。
Saiga12(0)<Speaker>saiga12</Speaker>||:……+啊？這次可不是個普通的聚會哦。
Saiga12(0)<Speaker>指揮官</Speaker>||:還有不普通的聚會？ 
Saiga12(0)<Speaker>saiga12</Speaker>||:多難得的放鬆時刻，還讓大家拿著武器在一起吃飯嗎？
Saiga12(0)<Speaker>指揮官</Speaker>||:那……畢竟都是戰術人形……
Saiga12(0)<Speaker>saiga12</Speaker>||:主要是制服的問題！指揮官你想想，廚師工作的時候會穿廚師服，但下班的時候肯定會換休閒服啊。+衣服可是身份的象徵。
Saiga12(0)<Speaker>指揮官</Speaker>||:……有道理，說不定換套衣服，大家就會解除備戰心態。+既然是聚會，應該讓大家好好放鬆好好玩。
Saiga12(0)<Speaker>saiga12</Speaker>||:是啊，最好是平常不太穿的那種衣服。+說起來——為了行動便利，大家衣櫃裡都沒幾套裙子。
Saiga12(0)<Speaker>指揮官</Speaker>||:那乾脆讓大家都穿禮服好了，我去訂購一批布料吧……細節的話到時候找M200 和QBU88商量下。
Saiga12(0)<Speaker>saiga12</Speaker>||:耶！指揮官最棒了！+不過都穿禮服了，聚會內容還是吃飯嗎？
Saiga12(0)<Speaker>指揮官</Speaker>||:既然穿禮服，那當然得跳舞了，我去跟閃電提一下。
Saiga12(0)<Speaker>saiga12</Speaker>||:不愧是全世界最好的指揮官！
Saiga12(0)<Speaker></Speaker>||:指揮官匆匆地離開這裡，應該是要去安排禮服相關的事情了。
Saiga12(0)<Speaker>saiga12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:嘻嘻嘻嘻嘻嘻，指揮官真好說服！+有裙裝美少女可以看囉！唔，下次的話我要建議搞個泳裝派對！
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN><BGM>m_avg_casual</BGM>:格里芬基地練舞房。+舞會的消息漸漸傳開，練舞房裡的人形便多了起來。
ZasM76(0)<Speaker>ZasM76</Speaker>||:舞會的建議很不錯，這次我絕對不會輸給SVD！
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:在這種地方都有勝負慾？好不容易換上了禮服，該多拍點寫真留個紀念嘛。
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:寫真那種東西，沒有競爭才沒有動力。+真正的戰術人形，就連跳舞也必須是第一名。
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:輸給你了，感覺在這裡的我都產生了莫名其妙的壓力。+還是回家看美少女寫真集好了。
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:這次你又打算送給誰？+基地裡的人已經被你送到人手一本了。
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:誰說的……KSVK就沒有收我的寫真集，啊，那次我可能得罪她了。
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:你到底都做了些什麼啊。
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:……就是正常的搭訕約會和送寫真集啊。
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:就連訓練都會不停地變換強度，而你拉近關係的方法卻還是那三板斧。
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:……+真是挫敗啊。
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:提醒下，千篇一律的套路可是無法換來真心的哦。
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:誰說的，我對每個人都是真心！
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:那為什麼要給每個人送一模一樣的禮物？
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:因為全世界沒有人可以抵抗寫真集啊！+特別是美少女的寫真集！
ZasM76(0)<Speaker>ZasM76</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:……算了，反正總有一天你會明白的。
()<Speaker></Speaker>||<黑屏2><BIN>96</BIN><BGM>GF_20HW_Scene_BPM82_loop</BGM>:隨著夜晚的到來，舞會拉開了帷幕。+不少熟悉的面孔在精心打扮下魚貫入場。
ZasM76(2)<Speaker>ZasM76</Speaker>||:白色很適合你。
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:嘻嘻，指揮官真貼心，只有純白才不會容納一點點污漬。+話說今天的你超可愛啊！我能不能邀請你來一支雙人舞？
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:……不行，我要全心專注在舞蹈本身，不然會輸，而你作為搭檔會影響我的發揮。
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:真無情！+不過無情的美少女也可愛。+今天大家都有精心打扮啊，真是賞心悅目。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:那你慢慢欣賞吧，我要先去熱身。
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:好吧，今晚肯定會有人跟我一起跳雙人舞的。
Saiga12(2)<Speaker></Speaker>||:宴會廳的燈光已經全部打開，一時間竟亮得有些刺眼。
Saiga12(2)<Speaker>saiga12</Speaker>||:哎，雖然大家都是熟人，不過好不容易換了套衣服，當我是個新認識的少女不行嗎？
Saiga12(2)<Speaker></Speaker>||:垂頭喪氣的Saiga逛了一圈，都沒有找到合適的舞伴。+十分沮喪的她決定去找侍者要杯酒，這時，一道溫柔的聲音在耳邊響起。
Saiga12(2)<Speaker>？？？</Speaker><同时置暗>||:能幫我調一杯雪夜玫瑰嗎？
Saiga12(2)<Speaker>侍者</Speaker><同时置暗>||:當然，口感的話有額外的要求嗎？
Saiga12(2)<Speaker>？？？</Speaker><同时置暗>||:沒有，按照你們的標準就好。+想必能叫這個名字的酒一定會有令人陶醉的口感。
Saiga12(2)<Speaker>saiga12</Speaker>||:這聲音！是新人？+你……你好！欸？好眼熟的美少女！ 
KSVK(9)<Speaker>？？？</Speaker>||:我？
()<Speaker></Speaker>||:少女指向了自己，滿眼寫著不解。
()<Speaker></Speaker>||:Saiga正想進一步解釋——
()<Speaker></Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:燈光熄滅了——
()<Speaker>？？？</Speaker>||<BGM>BGM_Moon</BGM><SE1>Heartbeat</SE1>:啊——
()<Speaker>saiga12</Speaker>||:別擔心！這是流程設計好的，等會兒要跳舞了。所以先關掉太亮的燈。
()<Speaker>？？？</Speaker>||:竟然是這樣……謝謝你。
()<Speaker>saiga12</Speaker>||:不用不用。話說我是不是見過你？
()<Speaker>？？？</Speaker>||:你是覺得我像KSVK嗎？她是我姐姐，我們相似很正常。
()<Speaker>saiga12</Speaker>||:啊！？這，這……那她怎麼把你一個人放在這裡啊。
()<Speaker>？？？</Speaker>||:她今天有事情要忙，就把名額讓給我了。+不介意的話，可以直接喊我杜莎妮。
()<Speaker>saiga12</Speaker>||<BGM>BGM_Empty</BGM>:杜莎妮……真是個好名字。
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>GF_20HW_Scene_BPM82_loop</BGM>:悠揚的樂曲緩緩響起，燈光也配合地亮了起來。
()<Speaker>侍者</Speaker>||:小姐，你的酒。
KSVK(9)<Speaker>杜莎妮</Speaker>||:謝謝。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:你不去跳舞嗎？
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:抱歉，我不跳舞。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:來舞會卻不體驗跳舞的感覺，豈非太遺憾了？
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:就算是春天來臨，也會有花兒倔強地沉睡。+並非每一場舞會都要參與其中。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:可是那是因為有些花選在冬天開嘛。+你不試試怎麼知道自己不喜歡呢？
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:……你對每個人，都是這麼熱情嗎？
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:當然不是！+<color=#A9A9A9>我只對美少女熱情！</color>+我……我跟你姐姐也算同事嘛，幫她照顧你也是應該的。+並不是因為大家都在跳舞所以才希望你去跳舞，而是因為跳舞有意思所以我想要邀請你跳舞。
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:……其實，我是不會跳。連最基本的圓舞都不會。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:我可以教你！+圓舞是這世上最好學的舞蹈。
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:真這麼簡單嗎？我看到有人好像會去練舞房專門練習呢。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:真的，你想象自己是一朵追逐月亮的玫瑰，在風裡尋找它的圓色倒影。+你的裙子轉動起來，會很像一朵玫瑰哦。+跟手裡這杯雪夜玫瑰非常地相配。
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:聽起來有點勇氣想去嘗試了。+但是這裡人太多了，在人多的場合似乎總會格外膽怯。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:那我們出去找個人少的地方練舞吧？
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:……啊？
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||:這附近有練舞房。
Saiga12(2);KSVK(9)<Speaker>杜莎妮</Speaker>||:噗，可是我出錯的話，你還是會看見。
Saiga12(2)<Speaker>saiga12</Speaker>;KSVK(9)||<黑屏1>:不，我才看不見。+你在尋找月亮的時候，我也在尋找我的月亮。
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:被說服的杜莎妮在Saiga的指引下，悄悄離開了舞會。+有點緊張，也有點刺激，想到也許可以在月下共舞，Saiga的話語裡都是滿滿的期待。+杜莎妮雖然不太回覆，但總是微笑的嘴角似乎彰顯著主人的好心情。
ZasM76(2)<Speaker>ZasM76</Speaker>||<BGM>BGM_Empty</BGM>:你們做什麼？
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||<BGM>BGM_Sneak</BGM>:嚇死我了！你怎麼會出現在這裡？
