()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
吉兒()||<黑屏2><BIN>186</BIN><BGM>m_va_hopes_and_dreams</BGM>:呼……晚上好，BOSS。
Dana(0)<Speaker>戴娜</Speaker>||:晚上好，吉兒。+你開始習慣街上那些格里芬人形了嗎？
吉兒()||:還不行，她們每天都有新樂子。+她們看起來不像是在巡邏，更像是來玩的，我在剛才的路上甚至看到有兩個人形在寒風中比賽金雞獨立。
Dana(0)<Speaker>戴娜</Speaker>||:哈哈，我見過更有意思的，我猜這是她們測試任務的一部分。
吉兒()||:那些仿生人看起來和普通的人類女孩沒區別，我們的白騎士同胞們在值勤時卻要從頭到腳扮得像個機器人。+這個時代一定哪裡出了問題……
Dana(0)<Speaker>戴娜</Speaker>||:看開點，沒準這還是五十年前的某些人類心中暢想的未來呢。+好啦，去工作吧。
吉兒()||<黑屏1>:好的好的，交給我吧。
吉兒()||<BIN>9</BIN>:（準備準備接下來放什麼吧。）<c>Glitch City<c>Welcome To Va-11 Hall-A<c>Reminiscence
()||<分支>1</分支><BGM>m_va_glitch_city</BGM><黑屏1>:
()||<分支>2</分支><BGM>m_va_welcome_to_va11_hall_a</BGM><黑屏1>:
()||<分支>3</分支><BGM>m_va_reminiscence</BGM><黑屏1>:
吉兒()||<黑屏2><BIN>186</BIN>:調製飲料，改變生活。+歡迎來到Valhalla。
Dorothy(6)<Speaker>桃樂絲</Speaker>||:桃樂絲•海茲大人正式重返VALHALLA啦——！！
Dorothy(4)<Speaker>桃樂絲</Speaker>||:你這是什麼反應……
吉兒()||:和之前一樣，面對一個蹩腳喜劇演員的浮誇表演時的反應。
Dorothy(4)<Speaker>桃樂絲</Speaker>||:這不一樣！吉兒，我看得出來！
吉兒()||:我這幾天的第一個客人都是格里芬人形。+現在突然出現了一個Lilim，我甚至覺得有些新鮮。
Dorothy(0)<Speaker>桃樂絲</Speaker>||:我明白我明白。+這個酒吧沒多少顧客，這幾天只能靠著格里芬的口耳宣傳來增加訪問量。+畢竟你們的工作和我一樣，都是靠回頭客嘛。
吉兒()||:我更願意說……我好像很久沒見到你了。
Dorothy(0)<Speaker>桃樂絲</Speaker>||:這個嘛……其實是這樣的。+吉兒，你介意我多帶一位顧客過來嗎？
吉兒()||:你可沒怎麼帶朋友來過。
Dorothy(0)<Speaker>桃樂絲</Speaker>||:因為你就是我的朋友啊。+這位只是路上遇到的……又一個格里芬。+進來吧，O44小姐！
OC44(0)<Speaker>Ots-44</Speaker>||:啊，晚上好！
吉兒()||:你好，呃……
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:OTs-44，你可以直接叫她O44。+我在路上碰到了她，她有些煩惱。+我很想告訴她我正在工作時間，但我記得城市裡有條規矩是不能隨便拉攏外來遊客……所以我把她帶到這裡來了。+O44，這位是吉兒，這裡最棒的酒保和我最好的朋友！
吉兒()||:沒錯，在桃樂絲的心目中，我的地位和自動販賣機一樣重。
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:嘿，不許你這麼說它！
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:不管怎樣，很高興認識你，吉兒小姐！+不過這裡真的好偏僻啊，我甚至有點擔心我找不到回去的路。
吉兒()||:等等……+O44小姐，你就在大街上……直接跟著一位Lilim，來到了這個昏暗狹窄的貧民區深處？
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:喂，別說得我像個誘拐犯一樣！
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:沒關係，我聽M870說過這家酒吧的，我很放心。
吉兒()||:但桃樂絲也不一定把你帶到Valhalla。+沒錯，我們都是善良的格里奇城市民，但這還是有一定危險性啊。
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:我得承認，善良的「格里奇城市民」是一個非常稀有的品種，所以你很走運地遇上了人見人愛的桃樂絲大人！
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:沒錯，我相信桃樂絲！+看看她的眼神，多麼天真和善良啊！我知道她是不會騙我的！
吉兒()||:（而我遇到桃樂絲最大的收穫就是明白「天真」和「善良」是兩個可以完全不相關的詞彙……）+那O44小姐，你具體有什麼煩惱嗎？
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:也許你可以先點杯喝的，我們慢慢聊。
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:我要一杯……唔……+Blue Fairy，可以嗎？
吉兒()||:當然沒問題，稍等片刻。
吉兒()||:（這位人造小仙女點了一杯Blue Fairy，總覺得怪怪的，好像桃樂絲和我在下套騙她的酒錢……）+<va11><perfect>5
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||<分支>1</分支>:啊……好甜！+我好喜歡！謝謝你，吉兒小姐！
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:好啦，話題開始吧，O44小姐。
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:其實是這樣……+我……好像戀愛了。 
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:……♪（吹口哨）
吉兒()||:這應該算是件好事，對吧？
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:嗯……+只是我戀愛的對象……+……是根電線桿。
吉兒()||:……+格里芬人形的戀愛觀和人類確實不太一樣。+不過沒關係，某個Lilim最好的朋友還是一台自動販賣機呢。
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:吉兒！
吉兒()||:下班路上我會和它道歉的。
OC44(0)<Speaker>Ots-44</Speaker>;Dorothy(0)||:不不，我想說的是……+事實上我知道，我並不是發自真心地喜歡那根電線桿……+我覺得這個城市……對人形有一些異常的影響。
吉兒()||:我昨天也遇到一位，看來你們和這個城市的特色相處得不太好。
OC44(0);Dorothy(0)<Speaker>桃樂絲</Speaker>||:我聽一個人形說過，奈米機械，還有太多的電子流，會影響格里芬人形的格里運轉。
