DiffclutyNum|3
MissionMapSize|6000,3000
MissionSpotMapSize|6500,6000,-1500,-1200
MissionMapMaxScale|0.4
MissionMapMinScale|0.2
MissionMapUseMinScale|0
MoveSpotOffset|500,0,0
MovePanelScale|0.6
MoveSpotScale|0.4
MissionSpotAngle|85,0,0
MissionCenter|10,0,0
MissionCameraAngle|0,0,0
CameraField|20
CameraShadow|0,30,0
MissionSpotCode|MissionPanelTitle
Mission3dSpotCode|202410Activity_3dSpot
MissionPathCode|MissionPanelCurve
MissionBackgroundCode|2023RougeSpring_PanelBackground
CameraMoveAngle|0,0
ShowRuler|0
SelectEffectName|SelectPanelEffect
HideTop|1

LightColor|FFFFFFFF,C16E60AC
MissionBackground3dCode|Map74
ModelPos|-81,478,100

MissionUnclockAnim|CanvasMap/Others/3dBackground/Map74(Clone)|-1,11603,Animation/202412Activity/Map74_Stage3

//兔洞
MissionSpot3d|0|0|11603,11603,11603|0,0,0|-1||202412Activity_3dSpot_Point

